season,day,team1,team2,date,time
10,1,4,9,2024-09-07,18:00:00
10,1,1,10,2024-09-07,18:00:00
10,1,3,11,2024-09-07,18:00:00
10,1,7,6,2024-09-07,18:00:00
10,1,14,13,2024-09-07,18:00:00
10,1,5,12,2024-09-07,18:00:00
10,1,2,8,2024-09-07,18:00:00
10,2,6,2,2024-09-14,18:00:00
10,2,11,4,2024-09-14,18:00:00
10,2,12,3,2024-09-14,18:00:00
10,2,9,1,2024-09-14,18:00:00
10,2,8,14,2024-09-14,18:00:00
10,2,13,5,2024-09-14,18:00:00
10,2,10,7,2024-09-14,18:00:00
10,3,4,1,2024-09-21,18:00:00
10,3,3,10,2024-09-21,18:00:00
10,3,7,13,2024-09-21,18:00:00
10,3,14,6,2024-09-21,18:00:00
10,3,8,12,2024-09-21,18:00:00
10,3,5,9,2024-09-21,18:00:00
10,3,2,11,2024-09-21,18:00:00
10,4,1,7,2024-09-28,18:00:00
10,4,6,3,2024-09-28,18:00:00
10,4,11,5,2024-09-28,18:00:00
10,4,12,14,2024-09-28,18:00:00
10,4,9,8,2024-09-28,18:00:00
10,4,13,2,2024-09-28,18:00:00
10,4,10,4,2024-09-28,18:00:00
10,5,4,12,2024-10-05,18:00:00
10,5,3,13,2024-10-05,18:00:00
10,5,14,11,2024-10-05,18:00:00
10,5,8,7,2024-10-05,18:00:00
10,5,5,6,2024-10-05,18:00:00
10,5,2,1,2024-10-05,18:00:00
10,5,10,9,2024-10-05,18:00:00
10,6,1,5,2024-10-12,18:00:00
10,6,6,8,2024-10-12,18:00:00
10,6,7,14,2024-10-12,18:00:00
10,6,11,12,2024-10-12,18:00:00
10,6,9,3,2024-10-12,18:00:00
10,6,13,4,2024-10-12,18:00:00
10,6,2,10,2024-10-12,18:00:00
10,7,4,14,2024-10-19,18:00:00
10,7,1,11,2024-10-19,18:00:00
10,7,3,8,2024-10-19,18:00:00
10,7,12,7,2024-10-19,18:00:00
10,7,9,13,2024-10-19,18:00:00
10,7,5,2,2024-10-19,18:00:00
10,7,10,6,2024-10-19,18:00:00
10,8,6,1,2024-10-26,18:00:00
10,8,7,5,2024-10-26,18:00:00
10,8,11,10,2024-10-26,18:00:00
10,8,14,3,2024-10-26,18:00:00
10,8,8,4,2024-10-26,18:00:00
10,8,13,12,2024-10-26,18:00:00
10,8,2,9,2024-10-26,18:00:00
10,9,4,2,2024-11-02,18:00:00
10,9,1,13,2024-11-02,18:00:00
10,9,3,7,2024-11-02,18:00:00
10,9,12,6,2024-11-02,18:00:00
10,9,9,11,2024-11-02,18:00:00
10,9,5,8,2024-11-02,18:00:00
10,9,10,14,2024-11-02,18:00:00
10,10,3,5,2024-11-23,18:00:00
10,10,6,4,2024-11-23,18:00:00
10,10,7,9,2024-11-23,18:00:00
10,10,12,1,2024-11-23,18:00:00
10,10,14,2,2024-11-23,18:00:00
10,10,8,11,2024-11-23,18:00:00
10,10,13,10,2024-11-23,18:00:00
10,11,4,3,2024-11-30,18:00:00
10,11,1,8,2024-11-30,18:00:00
10,11,11,13,2024-11-30,18:00:00
10,11,9,6,2024-11-30,18:00:00
10,11,5,14,2024-11-30,18:00:00
10,11,2,7,2024-11-30,18:00:00
10,11,10,12,2024-11-30,18:00:00
10,12,3,2,2024-12-21,18:00:00
10,12,6,13,2024-12-21,18:00:00
10,12,7,11,2024-12-21,18:00:00
10,12,12,9,2024-12-21,18:00:00
10,12,14,1,2024-12-21,18:00:00
10,12,8,10,2024-12-21,18:00:00
10,12,5,4,2024-12-21,18:00:00
10,13,4,7,2024-12-28,18:00:00
10,13,1,3,2024-12-28,18:00:00
10,13,11,6,2024-12-28,18:00:00
10,13,9,14,2024-12-28,18:00:00
10,13,13,8,2024-12-28,18:00:00
10,13,2,12,2024-12-28,18:00:00
10,13,10,5,2024-12-28,18:00:00
10,14,3,9,2025-01-04,18:00:00
10,14,6,10,2025-01-04,18:00:00
10,14,7,1,2025-01-04,18:00:00
10,14,12,11,2025-01-04,18:00:00
10,14,14,4,2025-01-04,18:00:00
10,14,8,2,2025-01-04,18:00:00
10,14,5,13,2025-01-04,18:00:00
10,15,11,3,2025-01-25,18:00:00
10,15,12,5,2024-02-17,18:00:00
10,15,14,8,2024-02-17,18:00:00
10,15,9,4,2024-02-17,18:00:00
10,15,13,7,2024-02-17,18:00:00
10,15,2,6,2024-02-17,18:00:00
10,15,10,1,2024-02-17,18:00:00
10,16,4,13,2025-02-15,18:00:00
10,16,1,2,2025-02-15,18:00:00
10,16,6,5,2025-02-15,18:00:00
10,16,7,12,2025-02-15,18:00:00
10,16,11,14,2025-02-15,18:00:00
10,16,8,9,2025-02-15,18:00:00
10,16,10,3,2025-02-15,18:00:00
10,17,3,6,2025-02-22,18:00:00
10,17,12,8,2025-02-22,18:00:00
10,17,14,7,2025-02-22,18:00:00
10,17,9,10,2025-02-22,18:00:00
10,17,5,11,2025-02-22,18:00:00
10,17,13,1,2025-02-22,18:00:00
10,17,2,4,2025-02-22,18:00:00
10,18,1,4,2025-03-01,18:00:00
10,18,6,12,2025-03-01,18:00:00
10,18,7,3,2025-03-01,18:00:00
10,18,11,9,2025-03-01,18:00:00
10,18,8,5,2025-03-01,18:00:00
10,18,13,14,2025-03-01,18:00:00
10,18,10,2,2025-03-01,18:00:00
10,19,4,11,2025-03-22,18:00:00
10,19,6,14,2025-03-22,18:00:00
10,19,12,10,2025-03-22,18:00:00
10,19,9,7,2025-03-22,18:00:00
10,19,8,1,2025-03-22,18:00:00
10,19,5,3,2025-03-22,18:00:00
10,19,2,13,2025-03-22,18:00:00
10,20,4,5,2025-03-29,18:00:00
10,20,1,6,2025-03-29,18:00:00
10,20,3,12,2025-03-29,18:00:00
10,20,7,8,2025-03-29,18:00:00
10,20,11,2,2025-03-29,18:00:00
10,20,14,10,2025-03-29,18:00:00
10,20,13,9,2025-03-29,18:00:00
10,21,3,14,2025-04-19,18:00:00
10,21,6,7,2025-04-19,18:00:00
10,21,12,4,2025-04-19,18:00:00
10,21,9,2,2025-04-19,18:00:00
10,21,8,13,2025-04-19,18:00:00
10,21,5,1,2025-04-19,18:00:00
10,21,10,11,2025-04-19,18:00:00
10,22,4,6,2025-04-26,18:00:00
10,22,1,9,2025-04-26,18:00:00
10,22,7,10,2025-04-26,18:00:00
10,22,11,8,2025-04-26,18:00:00
10,22,14,12,2025-04-26,18:00:00
10,22,13,3,2025-04-26,18:00:00
10,22,2,5,2025-04-26,18:00:00
10,23,3,4,2025-05-10,18:00:00
10,23,6,9,2025-05-10,18:00:00
10,23,7,2,2025-05-10,18:00:00
10,23,11,1,2025-05-10,18:00:00
10,23,12,13,2025-05-10,18:00:00
10,23,14,5,2025-05-10,18:00:00
10,23,10,8,2025-05-10,18:00:00
10,24,4,10,2025-05-17,18:00:00
10,24,1,14,2025-05-17,18:00:00
10,24,9,12,2025-05-17,18:00:00
10,24,8,6,2025-05-17,18:00:00
10,24,5,7,2025-05-17,18:00:00
10,24,13,11,2025-05-17,18:00:00
10,24,2,3,2025-05-17,18:00:00
10,25,4,8,2025-05-31,18:00:00
10,25,3,1,2025-05-31,18:00:00
10,25,11,7,2025-05-31,18:00:00
10,25,12,2,2025-05-31,18:00:00
10,25,14,9,2025-05-31,18:00:00
10,25,5,10,2025-05-31,18:00:00
10,25,13,6,2025-05-31,18:00:00
10,26,1,12,2025-06-07,18:00:00
10,26,6,11,2025-06-07,18:00:00
10,26,7,4,2025-06-07,18:00:00
10,26,9,5,2025-06-07,18:00:00
10,26,8,3,2025-06-07,18:00:00
10,26,2,14,2025-06-07,18:00:00
10,26,10,13,2025-06-07,18:00:00
10,27,0,0,2025-06-15,18:00:00
10,27,0,0,2025-06-15,18:00:00
10,28,0,0,2025-06-22,18:00:00
10,28,0,0,2025-06-22,18:00:00
10,29,0,0,2025-06-28,18:00:00
